MR32 ASCII
Name	TYR30_slow
Frequency	1500
Date	26-08-2015 09:35:05
"Time,s"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0333	20.9739	-5.03957	-26.969	111.989	-105.402	-13.5662	-42.7106	12.3445	0.310584
0.0340	21.8977	-9.30876	-23.0009	108.953	-90.7573	-5.02222	-50.3353	0.448076	0.310584
0.0347	20.666	-9.01987	-10.8157	119.929	-111.511	8.70518	-46.9848	-7.48287	0.621168
0.0353	24.6349	-5.64945	-12.9577	153.5	-126.457	41.9758	-38.7496	-0.47048	0.310584
0.0360	24.6349	-8.40998	-32.7982	143.429	-106.925	78.9046	-36.3072	-5.04085	0.310584
0.0367	20.666	-14.5088	-42.8413	101.315	-88.3138	98.1254	-37.2153	-26.1004	0.310584
0.0373	20.358	-14.5088	-43.7543	46.9986	-93.5022	102.701	-31.1093	-9.31998	0.310584
0.0380	20.358	-12.6792	-44.0704	1.8294	-57.8022	80.4299	-24.7058	35.5548	0.310584
0.0387	19.1263	-11.1384	-23.3169	-6.71408	31.3208	30.6789	-18.5998	35.8461	0.310584
0.0393	18.8184	-7.8001	7.19875	22.5752	72.2092	-3.80696	-10.9751	5.3321	0.310584
0.0400	19.1263	-7.19021	21.8421	69.8755	35.8904	-16.0091	-8.53273	-11.762	0.621168
0.0407	20.0501	-6.58033	25.8101	79.9466	31.3208	-31.8818	-12.8069	-21.8213	0.310584
0.0413	15.4653	-4.42969	22.439	46.6968	86.8541	-55.3808	-15.2493	-30.3795	0.310584
0.0420	6.94569	0.160496	16.9609	49.7332	116.461	-63.3047	-9.75393	-33.7177	0.621168
0.0427	5.406	3.8198	16.6449	119.929	102.419	-40.7234	-1.20554	-30.9844	0.621168
0.0433	8.75909	0.449388	17.277	174.868	77.3976	-12.0409	3.67925	-25.1819	0.310584
0.0440	10.6067	-6.86922	10.5699	198.065	59.0874	3.83177	4.28985	-19.3793	0.310584
0.0447	11.4963	-12.3582	1.40463	221.546	91.1381	11.4581	-1.20554	-5.64576	0.310584
0.0453	16.0811	-11.4594	5.65365	181.582	158.571	19.692	-5.18227	19.3793	0.621168
0.0460	19.4342	-7.47911	13.9059	72.9308	182.07	30.9889	-1.81614	35.8461	0.621168
0.0467	16.3891	-5.97045	6.28574	-26.2528	156.128	50.2098	2.14493	35.8461	0.621168
0.0473	11.8042	-3.8198	-7.44456	-89.716	82.2845	69.133	6.12165	31.2757	0.310584
0.0480	7.52735	-0.449388	-14.1517	-144.655	-30.94	74.3288	7.34285	22.4262	0.310584
0.0487	5.71394	5.03957	-5.93458	-203.252	-131.646	70.6582	9.47212	11.7396	0.621168
0.0493	2.36085	3.8198	7.51479	-137.337	-182.609	56.0132	11.9145	-2.59884	0.310584
0.0500	1.43704	1.05927	15.451	73.8549	-177.12	34.6471	11.9145	-11.1347	-0.931752
0.0507	11.4963	6.86922	22.439	220.339	-139.579	5.35703	18.0205	-3.80864	-0.931752
0.0513	14.5757	-0.160496	21.526	283.802	-120.967	-35.5399	20.4629	-1.99394	0.621168
0.0520	11.1884	-14.5088	17.277	334.78	-154.541	-50.495	14.0438	-10.8434	0.621168
0.0527	12.4201	-16.0175	16.364	303.341	-210.693	-26.996	11.9145	-12.3669	0.310584
0.0533	11.1884	-12.3582	7.51479	180.96	-224.418	-5.33223	14.6544	-4.7272	0.621168
0.0540	8.75909	-6.58033	-2.24741	33.2687	-172.851	1.68647	16.4862	2.89009	0.310584
0.0547	6.63775	-3.20992	-3.19554	-109.858	-99.2935	10.2304	15.8756	3.49499	0.310584
0.0553	3.5926	-0.449388	4.14367	-228.581	-44.0617	24.8879	20.4629	1.68028	0.621168
